Code,Count,State
AK,172,Alaska
AL,508,Alabama
AR,290,Arkansas
AZ,1044,Arizona
CA,3965,California
CO,798,Colorado
CT,478,Connecticut
DE,135,Delaware
FL,2095,Florida
GA,1147,Georgia
HI,192,Hawaii
IA,563,Iowa
ID,313,Idaho
IL,1252,Illinois
IN,844,Indiana
KS,476,Kansas
KY,680,Kentucky
LA,391,Louisiana
MA,1206,Massachusetts
MD,823,Maryland
ME,305,Maine
MI,1889,Michigan
MN,844,Minnesota
MO,943,Missouri
MS,187,Mississippi
MT,244,Montana
NC,1504,North Carolina
ND,131,North Dakota
NE,260,Nebraska
NH,263,New Hampshire
NJ,879,New Jersey
NM,342,New Mexico
NV,437,Nevada
NY,2050,New York
OH,1489,Ohio
OK,384,Oklahoma
OR,795,Oregon
PA,1990,Pennsylvania
RI,121,Rhode Island
SC,565,South Carolina
SD,124,South Dakota
TN,698,Tennessee
TX,2812,Texas
UT,441,Utah
VA,1247,Virginia
VT,138,Vermont
WA,1131,Washington
WI,702,Wisconsin
WV,274,West Virginia
WY,122,Wyoming
